"pair","type","Only_Related_cosine","DifferenceScore_cosine","Related_score_cosine","Unrelated_score_cosine","Only_Related_API","DifferenceScore_API","Related_score_API","Unrelated_score_API"
"monk-elegant","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"quantity-quality","related",0.501220747039076,NA,NA,NA,0.4935,NA,NA,NA
"prey-ugly","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"hobby-sport","related",0.479035005215665,NA,NA,NA,0.746,NA,NA,NA
"underestimate-microphone","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"urgent-emergency","related",0.673014852634852,NA,NA,NA,0.9,NA,NA,NA
"command-order","related",0.620745362132304,NA,NA,NA,0.8095,NA,NA,NA
"original-copy","related",0.423103881565428,NA,NA,NA,0.7945,NA,NA,NA
"clan-family","related",0.457388941537351,NA,NA,NA,0.775,NA,NA,NA
"diamond-jewel","related",0.535569966374542,NA,NA,NA,0.875,NA,NA,NA
"property-owner","related",0.515957380649603,NA,NA,NA,0.8,NA,NA,NA
"scare-weak","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"medical-psychological","related",0.361796156189671,NA,NA,NA,0.704,NA,NA,NA
"avenue-street","related",0.505254206853273,NA,NA,NA,0.85,NA,NA,NA
"grateful-thank","related",0.513049007313133,NA,NA,NA,0.7975,NA,NA,NA
"impossible-easy","related",0.407204553945092,NA,NA,NA,0,NA,NA,NA
"clean-wash","related",0.57804848533348,NA,NA,NA,0.8115,NA,NA,NA
"trust-believe","related",0.493202785696841,NA,NA,NA,0.777,NA,NA,NA
"unusual-strange","related",0.722913708693854,NA,NA,NA,0.8115,NA,NA,NA
"loyalty-honesty","related",0.493762008405116,NA,NA,NA,0.6035,NA,NA,NA
"producer-director","related",0.652902855332922,NA,NA,NA,0.806,NA,NA,NA
"anonymous-unknown","related",0.648138280939177,NA,NA,NA,0.8165,NA,NA,NA
"lipstick-concentrate","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"good-completely","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"royal-price","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"tired-hungry","related",0.482966608636759,NA,NA,NA,0.2525,NA,NA,NA
"similar-different","related",0.652073610796027,NA,NA,NA,0.1125,NA,NA,NA
"spy-traitor","related",0.416661948211773,NA,NA,NA,0.752,NA,NA,NA
"grab-science","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"make-do","related",0.571449144886223,NA,NA,NA,0.5,NA,NA,NA
"drown-wizard","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"tournament-pull","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"bee-remove","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"credit-funeral","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"mile-centimeter","related",0.389250558204184,NA,NA,NA,0.8,NA,NA,NA
"internal-external","related",0.748077499171325,NA,NA,NA,0.251,NA,NA,NA
"nerve-silver","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"rum-far","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"autograph-photographer","related",0.294673922455167,NA,NA,NA,0.3105,NA,NA,NA
"unusual-kill","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"monument-statue","related",0.702730956271538,NA,NA,NA,0.793,NA,NA,NA
"contain-content","related",0.525450473928091,NA,NA,NA,0.5,NA,NA,NA
"wrong-event","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"white-driver","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"sensor-crisis","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"dramatic-romantic","related",0.463657655860916,NA,NA,NA,0.714,NA,NA,NA
"conference-meeting","related",0.775195786762225,NA,NA,NA,0.8585,NA,NA,NA
"enable-provide","related",0.603698976197874,NA,NA,NA,0.698,NA,NA,NA
"generator-execution","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"relative-cousin","related",0.485799420066059,NA,NA,NA,0.8,NA,NA,NA
"passenger-sound","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"pork-meat","related",0.497340700424583,NA,NA,NA,0.875,NA,NA,NA
"apply-use","related",0.611674288361794,NA,NA,NA,0.8,NA,NA,NA
"deserve-worthy","related",0.478422126220342,NA,NA,NA,0.7465,NA,NA,NA
"polite-escape","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"regional-local","related",0.552949502814926,NA,NA,NA,0.797,NA,NA,NA
"trophy-abduct","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"chance-dynamite","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"tear-cut","related",0.390941166892196,NA,NA,NA,0.3125,NA,NA,NA
"tower-building","related",0.491582659854959,NA,NA,NA,0.8335,NA,NA,NA
"revenge-cotton","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"eliminate-worker","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"drama-comedy","related",0.613026407986309,NA,NA,NA,0.825,NA,NA,NA
"ideal-song","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"orchestra-band","related",0.426566842545583,NA,NA,NA,0.8475,NA,NA,NA
"pulse-pressure","related",0.613496676506802,NA,NA,NA,0.627,NA,NA,NA
"carnival-worthy","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"virus-infection","related",0.533802207546558,NA,NA,NA,0.862,NA,NA,NA
"comfortable-horse","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"potato-guilty","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"regional-cake","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"orphanage-cause","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"illusion-additional","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"observation-throne","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"country-description","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"play-fax","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"sea-episode","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"donkey-horse","related",0.545616721943068,NA,NA,NA,0.825,NA,NA,NA
"hanging-execution","related",0.332075634263479,NA,NA,NA,0.8375,NA,NA,NA
"innocent-express","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"spoon-intention","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"one-three","related",0.61254122927044,NA,NA,NA,0.156,NA,NA,NA
"hurricane-disturb","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"buy-meeting","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"private-rat","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"gas-fuel","related",0.605300581450872,NA,NA,NA,0.875,NA,NA,NA
"dynasty-empire","related",0.546577819782628,NA,NA,NA,0.782,NA,NA,NA
"sometimes-often","related",0.688097894131757,NA,NA,NA,0.8,NA,NA,NA
"firmly-emotional","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"flee-escape","related",0.519970480461778,NA,NA,NA,0.92,NA,NA,NA
"support-sail","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"heat-corporation","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"forgiveness-mercy","related",0.511236703991824,NA,NA,NA,0.8875,NA,NA,NA
"naturally-billion","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"exit-entrance","related",0.476739362052853,NA,NA,NA,0.845,NA,NA,NA
"library-cheap","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"short-massage","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"glass-stupid","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"camp-village","related",0.351273177257362,NA,NA,NA,0.666,NA,NA,NA
"attention-attract","related",0.391869435355206,NA,NA,NA,0.229,NA,NA,NA
"engineer-voter","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"influence-triple","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"project-program","related",0.608734617835136,NA,NA,NA,0.7565,NA,NA,NA
"ambulance-strawberry","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"congratulate-greet","related",0.551091129147602,NA,NA,NA,0.6835,NA,NA,NA
"physics-walk","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"man-human","related",0.704939376641891,NA,NA,NA,0.9445,NA,NA,NA
"back-return","related",0.555113333368815,NA,NA,NA,0.233,NA,NA,NA
"lemonade-gentle","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"explanation-glory","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"sheriff-mayor","related",0.418418353981351,NA,NA,NA,0.69,NA,NA,NA
"lower-upper","related",0.503484652389502,NA,NA,NA,0.589,NA,NA,NA
"mail-fax","related",0.547897955961687,NA,NA,NA,0.714,NA,NA,NA
"turn-patrol","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"birth-still","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"desk-steel","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"property-heavenly","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"sunset-dawn","related",0.49864212772554,NA,NA,NA,0.825,NA,NA,NA
"lip-cheek","related",0.449693821845826,NA,NA,NA,0.7685,NA,NA,NA
"pump-assist","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"normally-dream","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"fool-store","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"absolutely-rob","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"agent-western","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"vagina-division","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"ufo-alien","related",0.44718070942634,NA,NA,NA,0.811,NA,NA,NA
"exit-liar","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"secretary-artificial","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"future-chew","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"sword-individual","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"rifle-letter","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"nest-last","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"clearly-obviously","related",0.765999821047003,NA,NA,NA,0.2,NA,NA,NA
"lasagna-path","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"deserve-specialist","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"snail-turtle","related",0.459783696384684,NA,NA,NA,0.532,NA,NA,NA
"coffin-funeral","related",0.540469282573245,NA,NA,NA,0.875,NA,NA,NA
"seminar-lecture","related",0.43599047233846,NA,NA,NA,0.845,NA,NA,NA
"dna-fingerprint","related",0.318012693477242,NA,NA,NA,0.69,NA,NA,NA
"simply-catch","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"inspire-inspiration","related",0.729175674183127,NA,NA,NA,0.8325,NA,NA,NA
"cabin-deck","related",0.459470989274372,NA,NA,NA,0.5185,NA,NA,NA
"atomic-nuclear","related",0.505879721467739,NA,NA,NA,0.8445,NA,NA,NA
"hearing-carpet","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"slave-tornado","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"eternal-transfer","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"out-gift","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"scary-creepy","related",0.683602491652595,NA,NA,NA,0.8,NA,NA,NA
"sea-ocean","related",0.462589354747083,NA,NA,NA,0.975,NA,NA,NA
"propose-suggest","related",0.572645771408017,NA,NA,NA,0.875,NA,NA,NA
"financially-financing","related",0.577152603563945,NA,NA,NA,0.775,NA,NA,NA
"navigation-kingdom","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"relationship-oil","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"bring-legal","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"monkey-gorilla","related",0.539697438224248,NA,NA,NA,0.9,NA,NA,NA
"victory-knife","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"secret-mystery","related",0.470187253922644,NA,NA,NA,0.771,NA,NA,NA
"service-verify","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"disgusting-ugly","related",0.575864631465633,NA,NA,NA,0.752,NA,NA,NA
"spoon-fork","related",0.395177354798582,NA,NA,NA,0.875,NA,NA,NA
"two-fast","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"lipstick-perfume","related",0.413339205092685,NA,NA,NA,0.7525,NA,NA,NA
"daily-donation","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"exciting-directly","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"surgeon-doctor","related",0.515700089974342,NA,NA,NA,0.9,NA,NA,NA
"soft-gentle","related",0.538514806104445,NA,NA,NA,0.8,NA,NA,NA
"hope-blue","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"earthquake-disgusting","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"word-sentence","related",0.444385190652227,NA,NA,NA,0.74,NA,NA,NA
"desert-valley","related",0.437094055118177,NA,NA,NA,0.4275,NA,NA,NA
"admire-telephone","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"waste-trial","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"trash-garbage","related",0.594070900964478,NA,NA,NA,1,NA,NA,NA
"quantity-go","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"opposite-contrary","related",0.735552239210346,NA,NA,NA,0.8,NA,NA,NA
"shower-failure","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"hurricane-tornado","related",0.585700216871881,NA,NA,NA,0.8335,NA,NA,NA
"technical-venus","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"bone-skull","related",0.405322005875023,NA,NA,NA,0.85,NA,NA,NA
"ill-decade","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"senior-real","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"preparation-prison","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"software-computer","related",0.560193709888459,NA,NA,NA,0.8375,NA,NA,NA
"philosophy-married","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"elsewhere-somewhere","related",0.534445441037253,NA,NA,NA,0.8445,NA,NA,NA
"competition-championship","related",0.414654241265562,NA,NA,NA,0.836,NA,NA,NA
"mother-paranormal","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"software-hungry","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"radio-rabbit","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"popular-famous","related",0.546014201236986,NA,NA,NA,0.825,NA,NA,NA
"expert-vodka","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"worried-nervous","related",0.467287418089795,NA,NA,NA,0.8625,NA,NA,NA
"disgusting-pressure","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"doll-toy","related",0.558920851164356,NA,NA,NA,0.85,NA,NA,NA
"good-bad","related",0.612197289027116,NA,NA,NA,0,NA,NA,NA
"total-complete","related",0.629467022698112,NA,NA,NA,0.777,NA,NA,NA
"credit-loan","related",0.50990982631747,NA,NA,NA,0.883,NA,NA,NA
"bomb-explosive","related",0.543319667791053,NA,NA,NA,0.9,NA,NA,NA
"hotel-juliet","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"fake-explosion","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"move-cigar","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"elsewhere-criminal","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"finally-eventually","related",0.493712278643879,NA,NA,NA,0.8755,NA,NA,NA
"anniversary-explosive","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"forgive-excuse","related",0.600940629649637,NA,NA,NA,0.776,NA,NA,NA
"guard-horrible","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"radar-lunch","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"noble-brave","related",0.457898504265569,NA,NA,NA,0.528,NA,NA,NA
"cinnamon-battalion","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"revenge-justice","related",0.37151914128483,NA,NA,NA,0.8015,NA,NA,NA
"just-recently","related",0.467326852519495,NA,NA,NA,0,NA,NA,NA
"member-leader","related",0.638444374121833,NA,NA,NA,0.6795,NA,NA,NA
"slow-fast","related",0.563581241958439,NA,NA,NA,0.156,NA,NA,NA
"ash-dust","related",0.464032612990591,NA,NA,NA,0.7595,NA,NA,NA
"listen-mountain","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"witness-testimony","related",0.690104643386802,NA,NA,NA,0.8375,NA,NA,NA
"nobel-prize","related",0.516955100994228,NA,NA,NA,0.95,NA,NA,NA
"secret-civilization","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"weight-helicopter","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"channel-news","related",0.332842033308447,NA,NA,NA,0.741,NA,NA,NA
"bible-lobster","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"invasion-attack","related",0.507836127057894,NA,NA,NA,0.7835,NA,NA,NA
"channel-stroll","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"top-bottom","related",0.738964096265802,NA,NA,NA,0.625,NA,NA,NA
"rest-sleep","related",0.458840503693383,NA,NA,NA,0.8175,NA,NA,NA
"comfortable-pleasant","related",0.550820706212857,NA,NA,NA,0.713,NA,NA,NA
"spinal-abdominal","related",0.43301381699205,NA,NA,NA,0.684,NA,NA,NA
"skirt-dress","related",0.464798813466225,NA,NA,NA,0.825,NA,NA,NA
"healthy-excuse","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"push-very","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"cover-hide","related",0.555101065906098,NA,NA,NA,0.7125,NA,NA,NA
"value-skull","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"follow-chase","related",0.406413717148081,NA,NA,NA,0.8,NA,NA,NA
"monday-tuesday","related",0.662855247501551,NA,NA,NA,0.9,NA,NA,NA
"steal-rob","related",0.352566553168435,NA,NA,NA,0.9,NA,NA,NA
"big-huge","related",0.829016484248118,NA,NA,NA,0.95,NA,NA,NA
"frequency-calm","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"widow-woman","related",0.483494867123034,NA,NA,NA,0.766,NA,NA,NA
"cocaine-wire","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"voice-approval","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"eye-ear","related",0.649116778136451,NA,NA,NA,0.727,NA,NA,NA
"proud-excited","related",0.541301616156179,NA,NA,NA,0.2325,NA,NA,NA
"wine-dark","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"toilet-sink","related",0.423978574533216,NA,NA,NA,0.775,NA,NA,NA
"agent-detective","related",0.441828771854761,NA,NA,NA,0.716,NA,NA,NA
"trouble-problem","related",0.539809840700746,NA,NA,NA,0.8875,NA,NA,NA
"dig-bury","related",0.362031605890637,NA,NA,NA,0.8,NA,NA,NA
"arrive-come","related",0.556808273136488,NA,NA,NA,0.825,NA,NA,NA
"open-close","related",0.610444339568315,NA,NA,NA,0.2,NA,NA,NA
"briefcase-ability","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"glass-bottle","related",0.49882379267789,NA,NA,NA,0.783,NA,NA,NA
"parliament-freeze","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"suddenly-unexpectedly","related",0.681498419264391,NA,NA,NA,0.85,NA,NA,NA
"christmas-armory","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"telescope-cut","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"seller-joy","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"humble-modest","related",0.72685642774063,NA,NA,NA,0.866,NA,NA,NA
"surprise-scar","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"read-write","related",0.571295485585495,NA,NA,NA,0.8,NA,NA,NA
"pocket-alien","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"low-high","related",0.638991712432999,NA,NA,NA,0.2,NA,NA,NA
"iron-metal","related",0.668398209604972,NA,NA,NA,0.9,NA,NA,NA
"quiet-calm","related",0.628528541084817,NA,NA,NA,0.825,NA,NA,NA
"power-energy","related",0.604547932020802,NA,NA,NA,0.8125,NA,NA,NA
"celebrity-star","related",0.429027615222068,NA,NA,NA,0.781,NA,NA,NA
"character-personality","related",0.520765407241944,NA,NA,NA,0.8375,NA,NA,NA
"cocaine-heroin","related",0.632436406004114,NA,NA,NA,0.9,NA,NA,NA
"question-ask","related",0.632797905823808,NA,NA,NA,0.727,NA,NA,NA
"extremely-very","related",0.591213830815195,NA,NA,NA,0,NA,NA,NA
"inability-unable","related",0.666779595239071,NA,NA,NA,0.8,NA,NA,NA
"consider-think","related",0.731419402082517,NA,NA,NA,0.8,NA,NA,NA
"active-activity","related",0.580044470798946,NA,NA,NA,0.768,NA,NA,NA
"hate-love","related",0.373143505492371,NA,NA,NA,0.8215,NA,NA,NA
"live-survive","related",0.426170222834874,NA,NA,NA,0.825,NA,NA,NA
"south-schedule","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"tank-engine","related",0.461936508686699,NA,NA,NA,0.6505,NA,NA,NA
"button-press","related",0.524451424699409,NA,NA,NA,0.275,NA,NA,NA
"arsenal-armory","related",0.345535209459445,NA,NA,NA,0.8785,NA,NA,NA
"bear-wolf","related",0.535555957322899,NA,NA,NA,0.8,NA,NA,NA
"hunger-thirst","related",0.647043181069501,NA,NA,NA,0.777,NA,NA,NA
"carbon-hydrogen","related",0.429360904699403,NA,NA,NA,0.8695,NA,NA,NA
"princess-gather","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"late-early","related",0.646293466761151,NA,NA,NA,0,NA,NA,NA
"method-technique","related",0.544556775880368,NA,NA,NA,0.86,NA,NA,NA
"southern-western","related",0.482195547879636,NA,NA,NA,0.2,NA,NA,NA
"manage-chest","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"warning-audience","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"article-spirit","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"what-administrative","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"reporter-swim","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"tournament-match","related",0.565337913074135,NA,NA,NA,0.8595,NA,NA,NA
"congratulate-animal","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"interrupt-bruise","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"competition-oath","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"lawyer-dance","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"dinner-breakfast","related",0.579937665137799,NA,NA,NA,0.775,NA,NA,NA
"amateur-rear","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"dude-democracy","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"slave-servant","related",0.59691693813741,NA,NA,NA,0.6175,NA,NA,NA
"pound-dollar","related",0.530528399849072,NA,NA,NA,0.8475,NA,NA,NA
"autograph-subject","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"text-poem","related",0.372768635608195,NA,NA,NA,0.6985,NA,NA,NA
"pride-turkey","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"monk-priest","related",0.516564687316396,NA,NA,NA,0.8425,NA,NA,NA
"gallery-drug","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"refuse-accept","related",0.41996894884378,NA,NA,NA,0.1,NA,NA,NA
"producer-north","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"english-reduce","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"size-length","related",0.610557487798807,NA,NA,NA,0.7915,NA,NA,NA
"ill-sick","related",0.381422661879175,NA,NA,NA,0.9,NA,NA,NA
