"pair","type","cosine_similarity","API_similarity"
"glass-bottle","related",0.498835561859329,"0.812"
"parliament-freeze","unrelated",0.109801707133628,"0.000"
"suddenly-unexpectedly","related",0.681498419264391,"0.850"
"christmas-armory","unrelated",0.142195660096967,"0.045"
"telescope-cut","unrelated",0.177907650440934,"0.100"
"seller-joy","unrelated",0.278778891012589,"0.112"
"humble-modest","related",0.72685642774063,"0.887"
"surprise-scar","unrelated",0.331580993677928,"0.072"
"read-write","related",0.571295485585495,"0.800"
"pocket-alien","unrelated",0.20821156561544,"0.100"
"low-high","related",0.638997974441638,"0.200"
"iron-metal","related",0.668398209604972,"0.900"
"quiet-calm","related",0.628506231965622,"0.850"
"power-energy","related",0.60453375826071,"0.800"
"celebrity-star","related",0.428993044964526,"0.750"
"character-personality","related",0.520803464979162,"0.850"
"cocaine-heroin","related",0.632465209001709,"0.900"
"question-ask","related",0.632845163491034,"0.654"
"extremely-very","related",0.591171776784237,"0.000"
"inability-unable","related",0.666742667825648,"0.800"
"consider-think","related",0.73141768700472,"0.800"
"active-activity","related",0.580054647633603,"0.750"
"hate-love","related",0.37310006182652,"0.843"
"live-survive","related",0.426143480466342,"0.800"
"south-schedule","unrelated",0.20806246867513,"0.112"
"tank-engine","related",0.46197615718022,"0.623"
"button-press","related",0.524504760466445,"0.300"
"arsenal-armory","related",0.345581696519094,"0.900"
"bear-wolf","related",0.535509650870037,"0.800"
"hunger-thirst","related",0.647003254293523,"0.754"
"carbon-hydrogen","related",0.429329706114177,"0.850"
"princess-gather","unrelated",0.233500140145394,"0.112"
"late-early","related",0.646225828744294,"0.000"
"method-technique","related",0.544534614100518,"0.850"
"southern-western","related",0.482265123215052,"0.200"
"manage-chest","unrelated",0.268022658923213,"0.000"
"warning-audience","unrelated",0.292553466353781,"0.203"
"article-spirit","unrelated",0.309373315350934,"0.138"
"what-administrative","unrelated",0.207674504735371,"0.000"
"reporter-swim","unrelated",0.214845591784911,"0.042"
"tournament-match","related",0.565332083333246,"0.875"
"congratulate-animal","unrelated",0.167475130611756,"0.000"
"interrupt-bruise","unrelated",0.277928027377668,"0.050"
"competition-oath","unrelated",0.223777379850591,"0.105"
"lawyer-dance","unrelated",0.232354627385326,"0.050"
"dinner-breakfast","related",0.579937665137799,"0.750"
"amateur-rear","unrelated",0.259650487481944,"0.112"
"dude-democracy","unrelated",0.258592606234715,"0.150"
"slave-servant","related",0.596882761374875,"0.600"
"pound-dollar","related",0.530528399849072,"0.800"
"autograph-subject","unrelated",0.276282530931408,"0.132"
"text-poem","related",0.372846220638833,"0.675"
"pride-turkey","unrelated",0.235927274535632,"0.112"
"monk-priest","related",0.516516736330356,"0.835"
"gallery-drug","unrelated",0.30380483556952,"0.050"
"refuse-accept","related",0.420006123378798,"0.000"
"producer-north","unrelated",0.248230169869886,"0.125"
"english-reduce","unrelated",0.220108283927943,"0.000"
"size-length","related",0.610454163572325,"0.783"
"ill-sick","related",0.381423852922013,"0.900"
"forbidden-outcome","unrelated",0.231408598539168,"0.122"
"okay-yeah","related",0.574279822257665,"0.100"
"ring-necklace","related",0.448472854018311,"0.678"
"thin-thick","related",0.634128510949152,"0.200"
"honey-butter","related",0.526222206201077,"0.532"
"badge-uniform","related",0.4132628887529,"0.750"
"arrive-unpleasant","unrelated",0.208183420443388,"0.000"
"engagement-fantastic","unrelated",0.205598110674749,"0.000"
"climb-funding","unrelated",0.193081528228309,"0.112"
"advice-length","unrelated",0.261727412129326,"0.112"
"dragon-absence","unrelated",0.109543760282037,"0.000"
"ordinary-signature","unrelated",0.299033124857561,"0.112"
"coal-highness","unrelated",0.136798855352717,"0.000"
"dramatic-package","unrelated",0.286701916205837,"0.112"
"urgent-remember","unrelated",0.332037656648376,"0.112"
"impossible-university","unrelated",0.207448867080673,"0.000"
"strong-surface","unrelated",0.260065130893653,"0.234"
"career-lock","unrelated",0.230534879242702,"0.045"
"suffer-charming","unrelated",0.181966421435254,"0.000"
"model-emergency","unrelated",0.234851816581522,"0.200"
"capsule-probe","related",0.280225203658554,"0.211"
"silent-fishing","unrelated",0.16379942918651,"0.000"
"shark-password","unrelated",0.242378778003873,"0.001"
"farmer-blackmail","unrelated",0.201262347534659,"0.000"
"layer-let","unrelated",0.474572961816984,"0.111"
"helpless-powerless","related",0.768737810035608,"0.900"
"court-substitute","unrelated",0.310882641353017,"0.215"
"conservative-toy","unrelated",0.21917069354891,"0.100"
"bonus-sunday","unrelated",0.326642466366292,"0.105"
"espionage-black","unrelated",0.182374104043395,"0.112"
"taxi-modest","unrelated",0.23046488429042,"0.000"
"miserable-discussion","unrelated",0.187789865667711,"0.112"
"phase-small","unrelated",0.242688732045404,"0.112"
"goose-duck","related",0.515169933642011,"0.850"
"chancellor-president","related",0.473749472817332,"0.800"
"finger-garage","unrelated",0.278710209878928,"0.050"
"atomic-valley","unrelated",0.185945077611839,"0.045"
"shine-machine","unrelated",0.194168642203624,"0.100"
"arrange-organize","related",0.6538193484159,"0.800"
"punish-race","unrelated",0.259632747710516,"0.100"
"badge-knew","unrelated",0.286508991776479,"0.000"
"wall-fence","related",0.41986678361706,"0.800"
"imagination-fleet","unrelated",0.163536679926593,"0.100"
"actually-really","related",0.48005621780572,"0.800"
"officially-official","related",0.670235929047986,"0.847"
"beach-coast","related",0.540543225799466,"0.850"
"chain-rope","related",0.339932530629783,"0.765"
"dna-scandal","unrelated",0.171200012726856,"0.100"
"trailer-van","related",0.246745923199515,"0.734"
"chaos-bro","unrelated",0.262635516196903,"0.100"
"ignorance-arrogance","related",0.50895386582451,"0.400"
"hair-watson","unrelated",0.184326093899247,"0.000"
"climb-jump","related",0.420686614501341,"0.654"
"radius-perimeter","related",0.450289420490922,"0.654"
"widow-van","unrelated",0.256220017242682,"0.000"
"navigation-communication","related",0.33707324590518,"0.300"
"live-ship","unrelated",0.249256186920429,"0.112"
"protect-structure","unrelated",0.42060989704354,"0.134"
"universe-galaxy","related",0.501413521555681,"0.850"
"unit-division","related",0.583476320211607,"0.679"
"dynasty-tell","unrelated",0.274775816030091,"0.000"
"governor-jacket","unrelated",0.286151302202624,"0.100"
"expensive-cheap","related",0.542817114005639,"0.800"
"sensor-transmitter","related",0.376047770537715,"0.823"
"right-french","unrelated",0.27058615395165,"0.100"
"honey-calculate","unrelated",0.24264276231234,"0.000"
"hunting-fishing","related",0.585454737553551,"0.785"
"ridiculous-ear","unrelated",0.217720510959592,"0.000"
"unfortunate-something","unrelated",0.297480530540607,"0.000"
"responsibility-duty","related",0.605196739871908,"0.875"
"never-ever","related",0.693398457413126,"0.100"
"satisfied-happy","related",0.610923972715447,"0.878"
"superman-batman","related",0.563936961115638,"0.900"
"shark-fish","related",0.4061167925396,"0.875"
"report-cap","unrelated",0.309568753328775,"0.050"
"gunpowder-dynamite","related",0.416122056218838,"0.875"
"sugar-ever","unrelated",0.213217718686339,"0.000"
"lunar-solar","related",0.515261871106305,"0.872"
"create-produce","related",0.517273990020707,"0.850"
"white-black","related",0.551485128727585,"0.500"
"normally-usually","related",0.738535156290658,"0.850"
"million-billion","related",0.596216770119456,"0.900"
"church-prize","unrelated",0.200418953831227,"0.100"
"land-style","unrelated",0.158950780189712,"0.112"
"alone-fluid","unrelated",0.209389573199527,"0.045"
"glasses-hear","unrelated",0.286893135125826,"0.000"
"boys-girls","related",0.718739969397651,"0.900"
"jazz-coast","unrelated",0.238920069743365,"0.112"
"majority-vote","related",0.329201484056268,"0.875"
"lunar-raccoon","unrelated",0.263200333762466,"0.025"
"motive-flower","unrelated",0.180360503056417,"0.050"
"complaint-city","unrelated",0.21809749614744,"0.112"
"caliber-bullet","related",0.432465813348215,"0.750"
"front-really","unrelated",0.327002017252012,"0.000"
"ambassador-insect","unrelated",0.189125081019651,"0.000"
"jeep-truck","related",0.464257363345822,"0.875"
"culture-nervous","unrelated",0.235243452006556,"0.100"
"tasty-fingerprint","unrelated",0.260081850043616,"0.000"
"bay-harbor","related",0.427002609622172,"0.825"
"stick-hammer","related",0.447264104068949,"0.300"
"nightmare-perfume","unrelated",0.191534119950013,"0.052"
"dean-wealth","unrelated",0.2798680158168,"0.112"
"seminar-meat","unrelated",0.231831949496806,"0.000"
"naturally-generally","related",0.470328831460344,"0.100"
"equipment-equip","related",0.752503412743066,"0.200"
"follow-circus","unrelated",0.233515147791116,"0.050"
"therapy-treatment","related",0.605758750449683,"0.800"
"mistress-particle","unrelated",0.195846572033509,"0.000"
"plus-minus","related",0.554701456277723,"0.800"
"dessert-cake","related",0.493168755383878,"0.875"
"blood-urine","related",0.36241875136171,"0.758"
"budget-funding","related",0.518943651284684,"0.845"
"impression-metal","unrelated",0.228117743958402,"0.100"
"paradise-hell","related",0.403337067864039,"0.800"
"suicide-signal","unrelated",0.273615305242599,"0.100"
"blanket-towel","related",0.518999152525617,"0.432"
"question-devil","unrelated",0.248835243292802,"0.100"
"chancellor-technique","unrelated",0.12761838193975,"0.112"
"pride-dignity","related",0.590232136287143,"0.822"
"enough-sufficient","related",0.765378907659714,"1.000"
"propose-gram","unrelated",0.215206457897394,"0.000"
"refuge-television","unrelated",0.186148530701408,"0.100"
"rum-cognac","related",0.246217546449377,"0.850"
"marathon-race","related",0.353930294640555,"0.800"
"compliment-gift","related",0.402449766842018,"0.623"
"student-definition","unrelated",0.275721527585788,"0.200"
"naïve-sip","unrelated",0.173837343381653,"0.000"
"rhythm-style","related",0.451231807423225,"0.564"
"lawyer-prosecutor","related",0.503661706127269,"0.750"
"cinema-theater","related",0.544272500010412,"0.877"
"campaign-election","related",0.475773639473329,"0.873"
"heat-temperature","related",0.613846089133197,"0.902"
"poverty-misery","related",0.490889584062713,"0.825"
"magic-wallet","unrelated",0.323551632268993,"0.100"
"narrow-forever","unrelated",0.134230913184392,"0.000"
"popular-informant","unrelated",0.218069727153186,"0.000"
"room-friendship","unrelated",0.272833731536106,"0.125"
"chain-determination","unrelated",0.178655615640646,"0.100"
"operate-surgery","related",0.34036620061049,"0.750"
"cloth-handkerchief","related",0.481726397624687,"0.810"
"personal-intimate","related",0.532173771462588,"0.712"
"sherlock-battle","unrelated",0.239629216744351,"0.100"
"uncle-watch","unrelated",0.308142745153293,"0.075"
"combat-fight","related",0.778681237670433,"0.900"
"capacity-ability","related",0.562289548132131,"0.800"
"finance-suspect","unrelated",0.230197760627086,"0.103"
"spring-fork","unrelated",0.50634823724093,"0.112"
"africa-america","related",0.511279550001758,"0.525"
"idea-theory","related",0.599568466413417,"0.800"
"slow-government","unrelated",0.242865147622465,"0.112"
"learn-teach","related",0.550893381380108,"0.887"
"frequency-signal","related",0.41199813188607,"0.350"
"cook-energy","unrelated",0.210318486522058,"0.150"
"critical-boss","unrelated",0.318966241808941,"0.117"
"hostage-produce","unrelated",0.20496553091235,"0.000"
"project-fear","unrelated",0.266067571961621,"0.102"
"nothing-something","related",0.622022819489822,"0.500"
"member-ultimate","unrelated",0.358677465861623,"0.135"
"compass-map","related",0.484934980937407,"0.825"
"nail-tooth","related",0.519069619496295,"0.200"
"royal-kingdom","related",0.51403709898035,"0.875"
"mouse-rat","related",0.421741141279232,"0.900"
"tuna-temperature","unrelated",0.277636874684107,"0.045"
"enter-neck","unrelated",0.495793883298811,"0.000"
"international-world","related",0.447317027874634,"0.800"
"lesbian-gay","related",0.546774140197749,"0.900"
"trouble-senator","unrelated",0.18732535853849,"0.233"
"loyal-nuclear","unrelated",0.24341172644537,"0.000"
"area-zone","related",0.613930597865018,"0.865"
"genius-past","unrelated",0.1924252754444,"0.000"
"medical-hat","unrelated",0.354894196786169,"0.020"
"influence-effect","related",0.508234855551002,"0.872"
"extra-painter","unrelated",0.219601042307903,"0.100"
"sober-drunk","related",0.601809124043513,"0.800"
"concrete-steel","related",0.421256749329654,"0.600"
"hotel-motel","related",0.532300524613407,"0.800"
"arrival-departure","related",0.605291458568444,"0.800"
"interrupt-disturb","related",0.520758600403823,"0.800"
"box-cardinal","unrelated",0.257244594273625,"0.100"
"forget-remember","related",0.658567072645279,"0.800"
"fox-repair","unrelated",0.255834663372347,"0.100"
"church-chapel","related",0.526587275376151,"0.872"
"circle-triangle","related",0.636970506810514,"0.564"
"third-do","unrelated",0.264219384533822,"0.000"
"situation-sale","unrelated",0.311001774473694,"0.300"
"saturday-product","unrelated",0.266078916497703,"0.112"
"wall-manipulate","unrelated",0.210166813367902,"0.000"
"proceed-continue","related",0.614037542251126,"0.800"
"artifact-cool","unrelated",0.333120081274727,"0.000"
"smart-misfortune","unrelated",0.217857621238576,"0.045"
"pension-salary","related",0.448551636461879,"0.786"
"poison-statement","unrelated",0.244022840203231,"0.112"
"telegram-select","unrelated",0.283411912044602,"0.000"
